Dataset;Algoritmo;Elementos;Media(ms)
Reserva1000alea;AVL;1000;2,20
Reserva1000ord;AVL;1000;3,60
Reserva1000inv;AVL;1000;0,40
Reserva5000alea;AVL;5000;2,80
Reserva5000ord;AVL;5000;2,00
Reserva5000inv;AVL;5000;2,40
Reserva10000alea;AVL;10000;6,00
Reserva10000ord;AVL;10000;3,80
Reserva10000inv;AVL;10000;3,40
Reserva50000alea;AVL;50000;52,00
Reserva50000ord;AVL;50000;19,20
Reserva50000inv;AVL;50000;13,20
